title,ticker,release_date,budget,revenue,ROI,car_total,primary_genre,rank_type
A Quiet Place,DIS,2018-04-03,17000000,340955294,847.6065358441559,0.1938,Horror,Top 5 ROI
Smile,DIS,2022-09-23,17000000,217408513,847.6065358441559,-7.4122,Horror,Top 5 ROI
Frozen II,DIS,2019-11-20,150000000,1453683476,847.6065358441559,7.2334,Family,Top 5 ROI
Top Gun: Maverick,DIS,2022-05-21,170000000,1488732821,775.7251888235294,0.4238,Action,Top 5 ROI
Inside Out 2,DIS,2024-06-11,200000000,1698863816,749.431908,-4.9837,Animation,Top 5 ROI
Drunk Wedding,DIS,2015-05-22,600000,3301,-99.44983333333332,1.372,Comedy,Bottom 5 ROI
Chip 'n Dale: Rescue Rangers,DIS,2022-05-20,70000000,623190,-99.10972857142856,-0.7199,Animation,Bottom 5 ROI
Young Woman and the Sea,DIS,2024-05-31,40000000,581725,-98.5456875,-2.1202,History,Bottom 5 ROI
The SpongeBob Movie: Sponge on the Run,DIS,2020-08-14,60000000,4810790,-91.98201666666668,-4.0242,Adventure,Bottom 5 ROI
The Rhythm Section,DIS,2020-01-31,50000000,5989583,-88.02083400000001,-0.7719,Action,Bottom 5 ROI
Jumanji: Welcome to the Jungle,SONY,2017-12-09,90000000,995339117,847.6065358441559,-1.3492,Adventure,Top 5 ROI
Escape Room,SONY,2019-01-03,9000000,155712077,847.6065358441559,-3.0913,Horror,Top 5 ROI
The Lazarus Effect,SONY,2015-01-29,3300000,64110728,847.6065358441559,19.3915,Horror,Top 5 ROI
Don't Breathe,SONY,2016-06-08,9900000,158906350,847.6065358441559,1.8327,Horror,Top 5 ROI
Insidious: The Red Door,SONY,2023-07-05,16000000,189086877,847.6065358441559,-2.2585,Horror,Top 5 ROI
The Craft: Legacy,SONY,2020-10-28,18000000,2300000,-87.22222222222223,13.4741,Horror,Bottom 5 ROI
Hotel Transylvania: Transformania,SONY,2022-01-31,75000000,18500000,-75.33333333333333,-3.2567,Animation,Bottom 5 ROI
Greed,SONY,2019-09-07,5500000,1460431,-73.4467090909091,3.1409,Comedy,Bottom 5 ROI
A Journal for Jordan,SONY,2021-12-22,25000000,6700000,-73.2,1.3107,Drama,Bottom 5 ROI
Saturday Night,SONY,2024-09-27,25000000,10055029,-59.779884,1.5232,Comedy,Bottom 5 ROI
A Star Is Born,WBD,2018-10-03,36000000,436388866,847.6065358441559,6.1623,Music,Top 5 ROI
Joker,WBD,2019-10-01,55000000,1078958629,847.6065358441559,4.3177,Crime,Top 5 ROI
Barbie,WBD,2023-07-19,145000000,1447138421,847.6065358441559,-6.619,Comedy,Top 5 ROI
The Gallows,WBD,2015-07-09,100000,42964410,847.6065358441559,1.718,Horror,Top 5 ROI
Me Before You,WBD,2016-06-01,20000000,207945075,847.6065358441559,3.349,Drama,Top 5 ROI
The Book of Clarence,WBD,2024-01-11,40000000,6205230,-84.486925,-11.4048,Adventure,Bottom 5 ROI
Cats & Dogs 3: Paws Unite,WBD,2020-09-15,17000000,4200000,-75.29411764705883,1.4649,Family,Bottom 5 ROI
Live by Night,WBD,2016-12-25,90000000,22700000,-74.77777777777777,-0.8689,Crime,Bottom 5 ROI
Blackhat,WBD,2015-01-13,70000000,17752940,-74.63865714285714,-11.9647,Crime,Bottom 5 ROI
The Many Saints of Newark,WBD,2021-09-22,50000000,13037403,-73.925194,-1.1842,Crime,Bottom 5 ROI
